DATA,PRECIPITACAO_TOTAL_MM,TEMP_MEDIA_C,TEMP_MAXIMA_C,TEMP_MINIMA_C,UMIDADE_MEDIA,VENTO_VELOCIDADE_MEDIA_MS,CLASSIFICACAO_ESTACAO,CLASSIFICACAO_TEMP_MEDIA,DIA_SEMANA
01/01/2024,0.0,19.97,23.7,18.3,82.96,,VERAO,AGRADAVEL,SEGUNDA-FEIRA
02/01/2024,0.0,21.22,26.1,19.2,81.12,,VERAO,AGRADAVEL,TERÇA-FEIRA
03/01/2024,0.2,22.43,29.5,19.9,82.33,,VERAO,AGRADAVEL,QUARTA-FEIRA
04/01/2024,12.2,20.53,22.7,18.9,92.0,,VERAO,AGRADAVEL,QUINTA-FEIRA
05/01/2024,4.6,20.9,25.0,19.0,87.79,,VERAO,AGRADAVEL,SEXTA-FEIRA
06/01/2024,0.6,21.1,24.9,18.9,85.46,,VERAO,AGRADAVEL,SÁBADO
07/01/2024,0.0,22.79,30.8,19.1,79.17,,VERAO,AGRADAVEL,DOMINGO
08/01/2024,1.8,25.02,34.0,20.7,73.33,,VERAO,QUENTE,SEGUNDA-FEIRA
09/01/2024,0.4,25.15,32.9,20.3,72.17,,VERAO,QUENTE,TERÇA-FEIRA
10/01/2024,10.8,26.02,33.7,20.8,71.25,,VERAO,QUENTE,QUARTA-FEIRA
11/01/2024,19.2,24.9,32.0,20.4,79.67,3.9,VERAO,QUENTE,QUINTA-FEIRA
12/01/2024,46.8,23.13,27.3,20.9,86.83,,VERAO,AGRADAVEL,SEXTA-FEIRA
13/01/2024,107.4,20.1,21.2,18.2,92.75,1.17,VERAO,AGRADAVEL,SÁBADO
14/01/2024,0.6,21.61,31.1,17.3,83.17,,VERAO,AGRADAVEL,DOMINGO
15/01/2024,0.0,25.49,33.1,20.6,75.75,,VERAO,QUENTE,SEGUNDA-FEIRA
16/01/2024,0.0,27.67,33.6,22.4,66.46,,VERAO,QUENTE,TERÇA-FEIRA
17/01/2024,18.4,26.38,33.4,22.2,75.67,,VERAO,QUENTE,QUARTA-FEIRA
18/01/2024,0.2,24.86,33.3,21.8,85.25,,VERAO,QUENTE,QUINTA-FEIRA
19/01/2024,44.2,24.5,31.8,20.2,79.79,,VERAO,QUENTE,SEXTA-FEIRA
20/01/2024,14.0,23.79,28.7,20.4,82.62,,VERAO,AGRADAVEL,SÁBADO
21/01/2024,8.4,21.62,24.3,20.0,89.33,,VERAO,AGRADAVEL,DOMINGO
22/01/2024,4.2,20.07,23.0,18.7,89.5,,VERAO,AGRADAVEL,SEGUNDA-FEIRA
23/01/2024,24.2,18.09,18.8,16.9,92.67,,VERAO,AGRADAVEL,TERÇA-FEIRA
24/01/2024,1.4,18.2,21.6,16.4,88.17,,VERAO,AGRADAVEL,QUARTA-FEIRA
25/01/2024,2.8,17.48,19.8,15.9,91.71,,VERAO,AGRADAVEL,QUINTA-FEIRA
26/01/2024,3.2,17.56,20.9,15.5,89.33,,VERAO,AGRADAVEL,SEXTA-FEIRA
27/01/2024,8.2,19.5,24.1,17.1,88.0,,VERAO,AGRADAVEL,SÁBADO
28/01/2024,6.2,19.91,23.8,17.6,86.92,,VERAO,AGRADAVEL,DOMINGO
29/01/2024,0.0,22.85,30.1,17.1,73.04,,VERAO,AGRADAVEL,SEGUNDA-FEIRA
30/01/2024,0.2,23.82,32.2,18.9,76.29,,VERAO,AGRADAVEL,TERÇA-FEIRA
31/01/2024,38.0,22.13,27.3,18.8,82.79,,VERAO,AGRADAVEL,QUARTA-FEIRA
01/02/2024,0.6,21.03,25.5,17.4,80.71,,VERAO,AGRADAVEL,QUINTA-FEIRA
02/02/2024,32.4,20.06,22.0,18.7,91.0,,VERAO,AGRADAVEL,SEXTA-FEIRA
03/02/2024,0.2,21.68,27.3,18.4,85.96,,VERAO,AGRADAVEL,SÁBADO
04/02/2024,48.4,22.18,29.4,18.3,84.17,1.2,VERAO,AGRADAVEL,DOMINGO
05/02/2024,0.4,22.36,28.5,17.3,74.62,2.2,VERAO,AGRADAVEL,SEGUNDA-FEIRA
06/02/2024,0.0,22.67,27.3,18.1,79.38,0.6,VERAO,AGRADAVEL,TERÇA-FEIRA
07/02/2024,0.2,22.83,29.6,19.0,83.12,1.55,VERAO,AGRADAVEL,QUARTA-FEIRA
08/02/2024,0.2,23.26,28.9,19.5,82.88,,VERAO,AGRADAVEL,QUINTA-FEIRA
09/02/2024,0.0,23.52,28.2,19.5,80.67,1.6,VERAO,AGRADAVEL,SEXTA-FEIRA
10/02/2024,0.2,23.97,29.0,20.5,80.88,2.0,VERAO,AGRADAVEL,SÁBADO
11/02/2024,0.0,24.3,31.2,20.0,78.08,,VERAO,QUENTE,DOMINGO
12/02/2024,0.0,26.3,32.4,21.4,68.58,3.2,VERAO,QUENTE,SEGUNDA-FEIRA
13/02/2024,0.0,27.52,34.1,22.3,62.33,2.1,VERAO,QUENTE,TERÇA-FEIRA
14/02/2024,60.4,21.92,24.6,20.1,91.04,2.12,VERAO,AGRADAVEL,QUARTA-FEIRA
15/02/2024,14.6,20.04,21.9,18.3,91.62,,VERAO,AGRADAVEL,QUINTA-FEIRA
16/02/2024,1.0,20.0,23.4,18.1,87.79,,VERAO,AGRADAVEL,SEXTA-FEIRA
17/02/2024,0.0,21.13,26.0,17.6,83.0,,VERAO,AGRADAVEL,SÁBADO
18/02/2024,2.2,21.74,26.7,19.9,85.29,,VERAO,AGRADAVEL,DOMINGO
19/02/2024,15.0,21.75,28.7,18.8,86.67,,VERAO,AGRADAVEL,SEGUNDA-FEIRA
20/02/2024,32.4,20.89,23.1,19.1,91.17,,VERAO,AGRADAVEL,TERÇA-FEIRA
21/02/2024,11.8,20.75,25.2,18.9,90.12,,VERAO,AGRADAVEL,QUARTA-FEIRA
22/02/2024,1.6,22.74,30.1,20.1,85.67,,VERAO,AGRADAVEL,QUINTA-FEIRA
23/02/2024,10.6,24.51,32.4,21.2,81.25,,VERAO,QUENTE,SEXTA-FEIRA
24/02/2024,52.2,23.16,31.6,20.8,88.5,1.1,VERAO,AGRADAVEL,SÁBADO
25/02/2024,0.0,23.06,27.6,20.9,88.67,,VERAO,AGRADAVEL,DOMINGO
26/02/2024,0.0,22.6,24.9,20.9,88.88,,VERAO,AGRADAVEL,SEGUNDA-FEIRA
27/02/2024,0.0,25.9,32.7,21.5,75.75,2.9,VERAO,QUENTE,TERÇA-FEIRA
28/02/2024,0.2,25.56,32.5,21.4,79.04,1.8,VERAO,QUENTE,QUARTA-FEIRA
29/02/2024,1.4,24.51,31.5,21.1,83.08,,VERAO,QUENTE,QUINTA-FEIRA
01/03/2024,3.8,23.36,28.4,20.2,84.08,,VERAO,AGRADAVEL,SEXTA-FEIRA
02/03/2024,0.2,21.81,25.4,19.8,80.54,,VERAO,AGRADAVEL,SÁBADO
03/03/2024,0.0,22.96,30.0,19.4,79.67,2.7,VERAO,AGRADAVEL,DOMINGO
04/03/2024,0.0,23.32,31.0,18.8,82.79,,VERAO,AGRADAVEL,SEGUNDA-FEIRA
05/03/2024,1.8,23.71,31.1,20.5,84.62,,VERAO,AGRADAVEL,TERÇA-FEIRA
06/03/2024,7.8,22.12,24.4,21.0,90.96,2.4,VERAO,AGRADAVEL,QUARTA-FEIRA
07/03/2024,0.6,21.6,24.6,19.7,90.79,,VERAO,AGRADAVEL,QUINTA-FEIRA
08/03/2024,10.4,22.85,27.5,21.2,89.12,,VERAO,AGRADAVEL,SEXTA-FEIRA
09/03/2024,9.8,24.66,31.6,21.0,85.38,,VERAO,QUENTE,SÁBADO
10/03/2024,1.0,24.29,27.6,21.9,84.71,,VERAO,QUENTE,DOMINGO
11/03/2024,1.0,21.94,25.8,19.4,83.08,,VERAO,AGRADAVEL,SEGUNDA-FEIRA
12/03/2024,0.0,20.32,24.7,17.6,85.0,,VERAO,AGRADAVEL,TERÇA-FEIRA
13/03/2024,0.0,22.02,29.1,19.8,86.17,,VERAO,AGRADAVEL,QUARTA-FEIRA
14/03/2024,0.0,24.03,32.8,20.0,84.71,,VERAO,QUENTE,QUINTA-FEIRA
15/03/2024,0.0,27.1,34.6,22.1,70.92,,VERAO,QUENTE,SEXTA-FEIRA
16/03/2024,0.0,28.14,34.6,23.9,65.67,,VERAO,QUENTE,SÁBADO
17/03/2024,0.0,27.79,34.9,23.8,69.46,,VERAO,QUENTE,DOMINGO
