DATA,PRECIPITACAO_TOTAL_MM,TEMP_MEDIA_C,TEMP_MAXIMA_C,TEMP_MINIMA_C,UMIDADE_MEDIA,VENTO_VELOCIDADE_MEDIA_MS,CLASSIFICACAO_ESTACAO,CLASSIFICACAO_TEMP_MEDIA,DIA_SEMANA
01/01/2016,46.0,23.85,30.2,21.1,73.62,2.7,VERAO,AGRADAVEL,SEXTA-FEIRA
02/01/2016,5.4,22.71,26.7,21.1,83.25,1.49,VERAO,AGRADAVEL,SÁBADO
03/01/2016,1.0,21.7,23.9,20.0,80.79,1.94,VERAO,AGRADAVEL,DOMINGO
04/01/2016,0.2,21.57,26.3,18.5,71.96,3.13,VERAO,AGRADAVEL,SEGUNDA-FEIRA
05/01/2016,0.0,22.57,29.2,18.3,65.12,2.91,VERAO,AGRADAVEL,TERÇA-FEIRA
06/01/2016,0.0,23.45,32.0,18.6,64.92,2.14,VERAO,AGRADAVEL,QUARTA-FEIRA
07/01/2016,0.0,24.9,31.5,19.3,59.25,2.01,VERAO,QUENTE,QUINTA-FEIRA
08/01/2016,0.0,26.01,32.1,21.7,55.62,1.48,VERAO,QUENTE,SEXTA-FEIRA
09/01/2016,13.8,24.33,29.8,21.4,71.79,1.39,VERAO,QUENTE,SÁBADO
10/01/2016,15.2,23.31,27.9,20.8,78.67,1.63,VERAO,AGRADAVEL,DOMINGO
11/01/2016,11.8,22.15,23.3,20.9,80.71,3.18,VERAO,AGRADAVEL,SEGUNDA-FEIRA
12/01/2016,6.6,22.75,24.8,21.7,81.29,2.62,VERAO,AGRADAVEL,TERÇA-FEIRA
13/01/2016,0.2,24.29,29.7,22.0,75.08,1.68,VERAO,QUENTE,QUARTA-FEIRA
14/01/2016,13.4,23.02,25.8,21.3,81.75,1.98,VERAO,AGRADAVEL,QUINTA-FEIRA
15/01/2016,25.6,20.6,22.1,19.5,89.54,1.15,VERAO,AGRADAVEL,SEXTA-FEIRA
16/01/2016,0.0,20.73,25.8,18.4,72.71,2.49,VERAO,AGRADAVEL,SÁBADO
17/01/2016,0.0,20.34,27.0,16.0,64.75,3.17,VERAO,AGRADAVEL,DOMINGO
18/01/2016,0.2,19.89,22.7,17.7,73.88,3.3,VERAO,AGRADAVEL,SEGUNDA-FEIRA
19/01/2016,0.2,19.43,22.3,17.8,71.96,3.39,VERAO,AGRADAVEL,TERÇA-FEIRA
20/01/2016,0.0,19.54,22.6,18.0,73.38,3.02,VERAO,AGRADAVEL,QUARTA-FEIRA
21/01/2016,0.0,20.79,25.6,17.2,65.21,3.29,VERAO,AGRADAVEL,QUINTA-FEIRA
22/01/2016,0.0,19.89,23.9,16.5,68.54,3.05,VERAO,AGRADAVEL,SEXTA-FEIRA
23/01/2016,0.0,21.29,27.1,18.1,69.0,2.33,VERAO,AGRADAVEL,SÁBADO
24/01/2016,3.2,21.9,27.7,18.9,73.25,1.6,VERAO,AGRADAVEL,DOMINGO
25/01/2016,0.0,24.53,32.0,19.1,66.88,1.72,VERAO,QUENTE,SEGUNDA-FEIRA
26/01/2016,0.4,25.93,32.9,21.1,60.33,2.25,VERAO,QUENTE,TERÇA-FEIRA
27/01/2016,35.6,23.85,30.0,19.6,75.88,1.05,VERAO,AGRADAVEL,QUARTA-FEIRA
28/01/2016,0.6,23.39,28.6,20.7,75.58,1.9,VERAO,AGRADAVEL,QUINTA-FEIRA
29/01/2016,0.0,24.05,28.0,21.2,71.62,2.34,VERAO,QUENTE,SEXTA-FEIRA
30/01/2016,2.4,25.15,30.0,20.9,64.33,1.65,VERAO,QUENTE,SÁBADO
31/01/2016,0.0,27.4,32.8,21.6,45.79,1.5,VERAO,QUENTE,DOMINGO
01/02/2016,0.0,28.0,32.7,22.7,42.58,1.38,VERAO,QUENTE,SEGUNDA-FEIRA
02/02/2016,5.0,25.82,31.5,22.5,63.92,1.6,VERAO,QUENTE,TERÇA-FEIRA
03/02/2016,3.4,25.03,30.8,21.0,65.75,2.02,VERAO,QUENTE,QUARTA-FEIRA
04/02/2016,0.0,24.32,28.6,21.5,67.75,1.88,VERAO,QUENTE,QUINTA-FEIRA
05/02/2016,1.4,25.78,33.0,21.5,62.42,1.51,VERAO,QUENTE,SEXTA-FEIRA
06/02/2016,17.0,23.92,29.4,20.4,74.5,1.57,VERAO,AGRADAVEL,SÁBADO
07/02/2016,0.2,23.63,30.1,20.8,74.12,1.91,VERAO,AGRADAVEL,DOMINGO
08/02/2016,0.0,22.05,31.7,0.0,57.62,1.63,VERAO,AGRADAVEL,SEGUNDA-FEIRA
09/02/2016,0.0,0.0,0.0,0.0,0.0,0.0,VERAO,MUITO_FRIO,TERÇA-FEIRA
10/02/2016,0.0,0.0,0.0,0.0,0.0,0.0,VERAO,MUITO_FRIO,QUARTA-FEIRA
11/02/2016,0.0,9.06,27.4,0.0,26.88,0.98,VERAO,MUITO_FRIO,QUINTA-FEIRA
12/02/2016,0.0,22.5,28.2,18.6,65.12,2.57,VERAO,AGRADAVEL,SEXTA-FEIRA
13/02/2016,0.0,23.07,29.9,19.0,65.21,2.19,VERAO,AGRADAVEL,SÁBADO
14/02/2016,0.0,25.68,32.6,20.4,61.71,1.8,VERAO,QUENTE,DOMINGO
15/02/2016,19.8,24.97,31.1,20.9,70.38,1.56,VERAO,QUENTE,SEGUNDA-FEIRA
16/02/2016,2.8,23.32,28.1,20.3,73.71,1.58,VERAO,AGRADAVEL,TERÇA-FEIRA
17/02/2016,0.8,24.7,30.2,21.6,69.58,1.66,VERAO,QUENTE,QUARTA-FEIRA
18/02/2016,4.4,24.36,31.5,21.4,71.38,2.08,VERAO,QUENTE,QUINTA-FEIRA
